NHU CẦU & SL ĐÁP ỨNG - ĐƠN HÀNG,,,,,,,
NGÀY NHẬN ĐH,Ngày triển khai,Số ĐH,Mã Khách Hàng,Tên Khách Hàng,Mã SP,SL đơn hàng,NGÀY Yêu cầu hoàn thành
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.05-14,  360 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.06-14,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.07-14,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.08-14,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.111,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.112,  360 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.118,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,EVO.01V-14,  5 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,EVO.02-14,  5 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,NC.01,  360 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,NC.02,  360 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,P.03,  360 ,6/23/2023
6/8/2023,6/13/2023,143/23XK,0405/MALAYSIA,YOUSHINE SOLUTION SDN BHD.,C.03-12,  720 ,6/26/2023
6/8/2023,6/13/2023,143/23XK,0405/MALAYSIA,YOUSHINE SOLUTION SDN BHD.,C.03-14,  720 ,6/26/2023
6/8/2023,6/13/2023,143/23XK,0405/MALAYSIA,YOUSHINE SOLUTION SDN BHD.,C.07-14,  720 ,6/26/2023
6/8/2023,6/13/2023,143/23XK,0405/MALAYSIA,YOUSHINE SOLUTION SDN BHD.,P.03,  360 ,6/26/2023
6/8/2023,6/13/2023,143/23XK,0405/MALAYSIA,YOUSHINE SOLUTION SDN BHD.,P.10,  360 ,6/26/2023
6/9/2023,6/13/2023,144/23XK,0319/JAPAN,SCISSOR STREET,KD2-0705,  500 ,7/31/2023
6/9/2023,6/13/2023,145/23XK,0481/FRANCE,ONIX PRO,KSK-1753,  500 ,6/29/2023
6/9/2023,6/13/2023,145/23XK,0481/FRANCE,ONIX PRO,KSK-1754,  500 ,6/29/2023
6/9/2023,6/13/2023,145/23XK,0481/FRANCE,ONIX PRO,KSK-1755,  500 ,6/29/2023
6/9/2023,6/13/2023,145/23XK,0481/FRANCE,ONIX PRO,KSK-1756,  500 ,6/29/2023
6/9/2023,6/13/2023,145/23XK,0481/FRANCE,ONIX PRO,KSK-1757,  500 ,6/29/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,C.01G-12,  60 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,C.07-14,  60 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,C.07-16,  120 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0069/POLAND,ACTIV TOMASZ PACHOLCZYK,CL.S02-5mm,  360 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,KD.701,  60 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,KD.707,  120 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,NL.201,  120 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,P.01,  60 ,7/30/2023
6/6/2023,6/14/2023,146/23XK,0446/TURKEY,Şükrü kızıl,P.13,  60 ,7/30/2023
6/6/2023,6/14/2023,146/23XK1,0446/TURKEY,Şükrü kızıl,CL.S02-5mm,  120 ,7/30/2023
6/6/2023,6/14/2023,146/23XK1,KDQT,HÀNG TỒN,P.13,  300 ,7/30/2023
6/16/2023,6/20/2023,147/23XK,0482/PORTUGAL,DANTAS CORREIA & LEITÃO LDA,KSK-1738,  600 ,6/27/2023
6/16/2023,6/20/2023,147/23XK,0482/PORTUGAL,DANTAS CORREIA & LEITÃO LDA,KSK-1739,  600 ,6/27/2023
6/16/2023,6/20/2023,147/23XK,0482/PORTUGAL,DANTAS CORREIA & LEITÃO LDA,KSK-1740,  650 ,6/27/2023
6/16/2023,6/20/2023,147/23XK,0484/PORTUGAL,TWINKLE BEAUTY LDA,KSK-1741,  600 ,6/27/2023
6/16/2023,6/20/2023,147/23XK,0484/PORTUGAL,TWINKLE BEAUTY LDA,KSK-1742,  600 ,6/27/2023
6/16/2023,6/20/2023,147/23XK,0484/PORTUGAL,TWINKLE BEAUTY LDA,KSK-1743,  650 ,6/27/2023
6/16/2023,6/20/2023,148/23XK,0483/LITHUNIA,Dimitrij Lucinkin,KSK-1758,  720 ,7/27/2023
6/16/2023,6/20/2023,148/23XK,0483/LITHUNIA,Dimitrij Lucinkin,KSS-1759,  720 ,7/27/2023
6/16/2023,6/20/2023,149/23XK,0487/TURKEY,RNK BEAUTY KOZMETIK ,KD2-1771,  200 ,7/26/2023
6/16/2023,6/20/2023,149/23XK,0487/TURKEY,RNK BEAUTY KOZMETIK ,KSK-1772,  200 ,7/26/2023
6/16/2023,6/20/2023,149/23XK,0487/TURKEY,RNK BEAUTY KOZMETIK ,KSS-1773,  200 ,7/26/2023
